Accel X,Accel Y
-2.9328003,4.5708466
-3.0954895,4.54718
-3.166687,4.497635
-3.181656,4.4605865
-3.1288605,4.401947
-3.0447998,4.307953
-3.0229797,4.169388
-3.1169434,3.9524536
-3.3094177,3.7460632
-3.6331635,3.5268097
-4.505234,3.2388306
-5.6768646,3.059311
-5.934784,3.127655
-5.211487,3.4803925
-4.135437,4.0224457
-3.4361877,4.6574554
-3.2974396,5.0344086
-3.4446259,5.3054657
-3.5699158,5.506897
-3.6081696,5.6168823
-3.6220245,5.64505
-3.6852417,5.585373
-3.7461853,5.421829
-3.7902222,5.1566315
-3.8520813,4.8819275
-3.9848785,4.610977
-4.101761,4.391678
-4.146942,4.230362
-4.1219788,4.139389
-4.0161743,4.0783386
-3.8690033,3.9946136
-3.7006989,3.9350739
-3.5373688,3.8543396
-3.4412537,3.7460785
-3.348053,3.64917
-3.2259216,3.5849762
-3.1012573,3.5764618
-3.00737,3.5764618
-2.9297333,3.5764618
-2.8294525,3.6060944
-2.687027,3.6184235
-2.4897156,3.631836
-2.2879944,3.6267395
-2.117569,3.6226196
-1.9891968,3.5876007
-1.9337463,3.513214
-1.9615784,3.4265137
-2.0576935,3.3250122
-2.17807,3.2627869
-2.304779,3.224289
-2.4207916,3.2034607
-2.5363617,3.1844025
-2.6190033,3.2063293
-2.674286,3.24115
-2.711502,3.2662811
-2.7377472,3.30307
-2.7412872,3.3336487
-2.7204742,3.3843842
-2.6651,3.453354
-2.5966034,3.5145721
-2.5121613,3.5803986
-2.4063416,3.6472626
-2.2513123,3.7338257
-2.0631866,3.8395538
-1.8417816,3.9299011
-1.6618195,4.003708
-1.5542297,4.041977
-1.4631653,4.09433
-1.3760223,4.126007
-1.289444,4.152405
-1.2233429,4.1712646
-1.1918488,4.122772
-1.1876221,4.027298
-1.1901093,4.0279236
-1.177536,4.115158
-1.149765,4.177597
-1.1339264,4.2177734
-1.1421967,4.1647644
-1.1812592,4.0525208
-1.246109,3.9245453
-1.3250732,3.8295288
-1.4498291,3.7464142
-1.5946503,3.6507568
-1.7395935,3.5699463
-1.8435211,3.5169983
-1.8928223,3.4896393
-1.9011841,3.448288
-1.872467,3.4328156
-1.812439,3.4184418
-1.7513123,3.4307861
-1.6986847,3.4773102
-1.6170349,3.5457153
-1.524704,3.6536255
-1.4267578,3.774109
-1.3397675,3.8274994
-1.2792664,3.8317413
-1.2076111,3.9438324
-1.09906,4.1336517
-0.99687195,4.3108826
-0.91134644,4.4082947
-0.86143494,4.441986
-0.8309784,4.4541016
-0.83592224,4.4839325
-0.86769104,4.4841766
-0.9138489,4.4684296
-0.94314575,4.4569855
-0.96383667,4.4455566
-0.967453,4.4511566
-0.9597626,4.453247
-0.9427643,4.4702454
-0.89642334,4.5072784
-0.8341217,4.5308533
-0.7556305,4.572525
-0.66145325,4.603897
-0.5673981,4.6633606
-0.4650116,4.7437744
-0.35792542,4.79657
-0.23846436,4.842514
-0.13142395,4.8753204
0.071380615,4.9140778
-0.0738678,4.9487762
-0.101623535,4.96727
-0.12579346,4.9374847
-0.19740295,4.899521
-0.2521515,4.9006653
-0.32618713,4.919159
-0.40867615,4.956238
-0.4706421,5.0014496
-0.49845886,5.0507355
-0.482193,5.0878296
-0.44514465,5.118698
-0.40827942,5.1504364
-0.3712921,5.185364
-0.31027222,5.2090454
-0.27671814,5.2056885
-0.27702332,5.1997375
-0.31739807,5.1674347
-0.34532166,5.136215
-0.37832642,5.110016
-0.40071106,5.0549316
-0.43093872,5.010803
-0.4678192,4.9608
-0.51130676,4.895981
-0.55625916,4.8338623
-0.5967102,4.780716
-0.60450745,4.7104034
-0.5708313,4.651474
-0.52864075,4.6007385
-0.4778595,4.5820312
-0.42463684,4.622055
-0.38970947,4.665741
-0.38217163,4.7046356
-0.40274048,4.776886
-0.43122864,4.882675
-0.46551514,4.975052
-0.50279236,5.0771637
-0.55570984,5.181061
-0.627594,5.2905426
-0.7036896,5.373291
-0.7965393,5.3995514
-0.9015198,5.4072723
-0.9645386,5.3922577
-1.0071106,5.354004
-1.1021423,5.3012543
-1.1635437,5.258774
-1.1980896,5.2428284
-1.1804352,5.266876
-1.0948944,5.338562
-0.9375,5.422058
-0.7903137,5.4664307
-0.6807709,5.4726715
-0.63290405,5.459244
-0.6391754,5.4274445
-0.70118713,5.3965454
-0.79145813,5.379303
-0.9005127,5.3856964
-1.0393982,5.4042053
-1.1856079,5.408844
-1.3375549,5.4461365
-1.5178833,5.451126
-1.7378998,5.4319305
-1.9468994,5.3847656
-2.101532,5.3368683
-2.1959076,5.3181763
-2.2389984,5.3366394
-2.2435913,5.3505707
-2.2167206,5.3461456
-2.1307068,5.310562
-2.0088806,5.284607
-1.9129791,5.2822113
-1.8518829,5.2970276
-1.8378906,5.2854614
-1.8929443,5.2687836
-2.096695,5.2500153
-2.4164276,5.2634583
-2.6154175,5.303192
-2.5573425,5.4305725
-2.3299103,5.574341
-2.094223,5.660034
-2.0253143,5.64476
-2.128952,5.556259
-2.2842865,5.440399
-2.403183,5.363617
-2.4470673,5.3437653
-2.429428,5.385849
-2.353363,5.4016724
-2.2763672,5.4165344
-2.2361908,5.4344482
-2.245514,5.408905
-2.2818756,5.35553
-2.2740784,5.3173065
-2.2130585,5.313507
-2.0732422,5.330841
-1.8322754,5.34639
-1.5713654,5.34552
-1.3553162,5.336197
-1.2345581,5.373001
-1.1624603,5.40184
